ontology ID	label	alternative label (LinkML:slot_name)	Notes	CURRENT CURATOR (TEMP)	REVIEW STATUS	Reported	LinkML:class_name	CATEGORY (TEMP)	term tracker item	entity type	created	parent class ID	parent class label	equivalence axiom	definition	definition source	user interface definition	comment	example of usage	contributor	curation status	editor note	see also	skos:exactMatch	skos:broadMatch	skos:narrowMatch	skos:relatedMatch
GENEPIO:0100467	serovar	PCDS:serovar	Notes extracted from retired sheet: is about OMP:0000207 serotype phenotype			UPDATE	GRDI	characteristic		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the serovar of the organism.		PCDS: The serovar of the organism.	PCDS: Only include this information if it has been determined by traditional serological methods or a validated in silico prediction tool.	PCDS: Heidelberg	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			serovar slot|serotype field|serotype slot	serovar		
GENEPIO:0100312	host ethnicity	PCDS:host_ethnicity	Notes extracted from retired sheet: EFO:0001799 ethnic group			UPDATE	PHA4GE	characteristic > host		class	2021-04-24T00:42:14Z	GENEPIO:0100628	host field		A host data field which describes the self-identified ethnicity(ies) of the host.		PCDS: The self-identified ethnicity(ies) of the host.	PCDS: If known, provide the self-identified ethnicity or ethnicities of the host as a free text description. This is highly sensitive information which must be treated respectfully and carefully when sharing. The information may have implications for equitable access and benefit sharing. Consult your privacy officer, data steward and/or cultural services representative.	PCDS: Indigenous, European	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			host ethnicity slot	host ethnicity		
GENEPIO:0001395	host gender	PCDS:host_gender	is about some "set" and is about some (("organism" and has role some "host role") has characteristic "gender") Notes extracted from retired sheet: is about some "set" and is about some (("organism" and has role some "host role") has characteristic "gender") is about NCIT:C17357 Gender	Rhiannon	Curation in Progress	UPDATE		characteristic > host		class	2021-04-24T00:42:14Z	GENEPIO:0100628	host field		A host data field which describes the gender of the host at the time of sample collection.		PCDS: The gender of the host at the time of sample collection.	PCDS: If known, select a value from the pick list.	PCDS: Male	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	requires discussion			host gender slot	host gender		
	host sex	PCDS:host_sex	Rhi: Could have a self-reported, physical/phenotyping, and karyotyping. Then perhaps a broader, unspecified version. Consider "sex-at-birth". REVIEW: - https://www.cihi.ca/sites/default/files/document/pan-canadian-gender-sex-and-sexual-orientation-data-stan-en.pdf - https://www.statcan.gc.ca/en/concepts/definitions/gender-sex-variables - https://cihr-irsc.gc.ca/e/50836.html/ - https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/dt-td/Index-eng.cfm?Lang=E&SUB=98P1001&SR=0&RPP=10&SORT=date - https://genderandcovid-19.org/resources-page/	Rhiannon	Curation in Progress			characteristic > host		class		GENEPIO:0100628	host field							https://orcid.org/0000-0002-9578-0788	uncurated						
GENEPIO:0001402	complications	PCDS:complications	Notes extracted from retired sheet: Should we specify these as host fields? note: subject complications where subject is host is about NCIT:C2959 Complication	Rhiannon		UPDATE	CanCOGeNCovid19 | HPAI | HPAIHost | Measles | Mpox | MpoxInternational | PHA4GE	characteristic > realizable entity > disposition		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes medical complications that are believed to have occurred as a result of host disease.		PCDS: Patient medical complications that are believed to have occurred as a result of host disease.	PCDS: Select all of the complications experienced by the host from the pick list.	PCDS: Delayed wound healing (lesion healing)	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			complications slot	complications		
GENEPIO:0001391	host disease	PCDS:host_disease	Notes extracted from retired sheet: ("organism" and has role some "host role") has disposition "disease"; OR IF IT MUST BE A DATA ITEM: is about (("organism" and has role some "host role") has disposition "disease") is about OGMS:0000031 disease	Rhiannon		UPDATE	AMBR | B2B2B | CanCOGeNCovid19 | GRDI | HPAI | HPAIHost | Influenza | Measles | Mpox | MpoxInternational | NMLPathogenAgnostic | PathogenAgnostic | PHA4GE	characteristic > realizable entity > disposition		class	2021-04-24T00:42:14Z	BFO:0000016	disposition		A host data field which describes the name of the disease experienced by the host.		PCDS: The name of the disease experienced by the host.	PCDS: Select 'Measles' from the pick list provided in the template.	PCDS: Mpox	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			host disease slot	host disease|host_disease		
GENEPIO:0001390	host health outcome	PCDS:host_health_outcome	Notes extracted from retired sheet: "host/subject health outcome" is about some "health event" and is about some ("organism" and has role some "host role"); NOTE: can be used in the context of disease, injury, etc. is about GENEPIO:0001212 subject disease outcome	Rhiannon		UPDATE	CanCOGeNCovid19 | HPAI | HPAIHost | Influenza | Measles | Mpox | MpoxInternational | PHA4GE	characteristic > realizable entity > disposition		class	2021-04-24T00:42:14Z	GENEPIO:0100628	host field		A host data field which describes the disease outcome in the host.		PCDS: Disease outcome in the host.	PCDS: If known, select a value from the pick list.	PCDS: Recovered	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			host health outcome slot	host health outcome		
GENEPIO:0001388	host health state	PCDS:host_health_state	Notes extracted from retired sheet: "subject health state" is about some "health state at time of specimen collection" and is about some ("organism" and has role some "host role") NOTE: subject is more broad and host is already indicated via organism. We should have "subject" fields that change depending on how "role" is applied. subject health status at time of specimen collection [GENEPIO:0000026] is about ExO:0000038 subject health status	Rhiannon		UPDATE	CanCOGeNCovid19 | HPAI | HPAIHost | Influenza | Measles | Mpox | MpoxInternational | PHA4GE	characteristic > realizable entity > disposition		class	2021-04-24T00:42:14Z	GENEPIO:0100628	host field		A host field which describes the health status of the host at the time of sample collection.		PCDS: Health status of the host at the time of sample collection.	PCDS: If known, select a value from the pick list.	PCDS: Symptomatic	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			host health state slot	host health state		
GENEPIO:0001404	host vaccination status	PCDS:host_vaccination_status	Notes extracted from retired sheet: is about subject vaccination status	Rhiannon		UPDATE	CanCOGeNCovid19 | HPAI | HPAIHost | Influenza | Measles | Mpox | MpoxInternational | PHA4GE	characteristic > realizable entity > disposition		class	2021-04-24T00:42:14Z	GENEPIO:0100633	host vaccination field		A data field which describes the vaccination status of the host.		PCDS: The vaccination status of the host (fully vaccinated, partially vaccinated, or not vaccinated).	PCDS: Select the vaccination status of the host from the pick list.	PCDS: Not Vaccinated	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			host vaccination status slot	host vaccination status		
GENEPIO:0102140	infectious disease stage	PCDS:infectious_disease_stage_*					Measles	characteristic > realizable entity > disposition		class	2026-04-13T17:16:47.336Z	BFO:0000016	disposition				PCDS: The stage of the infectious disease at the time of sampling.	PCDS: Infectious diseases progress through distinct stages, typically encompassing incubation, prodromal, illness, decline, and convalescence. These stages describe the progression from initial exposure to pathogen to recovery or resolution. Select the infectious disease stage from the pick list provided.	PCDS: Acute disease stage		metadata incomplete			infectious disease stage 1|infectious disease stage 2|infectious disease stage 3			
GENEPIO:0101113	influenza antiviral treatment administration	PCDS:influenza_antiviral_treatment_administration					HPAI | HPAIHost	characteristic > realizable entity > disposition		class	2026-04-13T17:16:47.336Z	BFO:0000016	disposition				PCDS: An action of giving or applying an influenza antiviral agent to a patient as part of a treatment regimen.		PCDS: Influenza antiviral treatment administered [GENEPIO:0101194]		metadata incomplete						
GENEPIO:0001400	signs and symptoms	PCDS:signs_and_symptoms	Notes extracted from retired sheet: Should we specify these as host fields? is about GENEPIO:0100291 signs and symptoms at time of specimen collection	Rhiannon		UPDATE	CanCOGeNCovid19 | HPAI | HPAIHost | Measles | Mpox | MpoxInternational | PHA4GE	characteristic > realizable entity > disposition		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the perceived change in function or sensation (loss, disturbance or appearance) indicative of a disease, reported by a patient.		PCDS: A perceived change in function or sensation, (loss, disturbance or appearance) indicative of a disease, reported by a patient.	PCDS: Select all of the symptoms experienced by the host from the pick list.	PCDS: Fever	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete	Generally, "symptoms" are subjective and reported by the patient, while "signs" are observed and reported by a clinician. However, data collected using case report forms are usually relayed by the patient and thus both are deamed "reported by a patient" in this definition.		signs and symptoms slot	signs and symptoms		
GENEPIO:0001503	variant designation	PCDS:variant_designation	Notes extracted from retired sheet: is about GENEPIO:0100293 variant designation	Rhiannon		UPDATE	CanCOGeNCovid19 | PHA4GE	characteristic > realizable entity > disposition		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the variant classification of the lineage/clade.		PCDS: The variant classification of the lineage/clade i.e. variant, variant of concern.	PCDS: If the lineage/clade is considered a Variant of Concern, select Variant of Concern from the pick list. If the lineage/clade contains mutations of concern (mutations that increase transmission, clincal severity, or other epidemiological fa ctors) but it not a global Variant of Concern, select Variant. If the lineage/clade does not contain mutations of concern, leave blank.	PCDS: Variant of Concern	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			variant designation slot	variant designation		
GENEPIO:0100921	experimental specimen role type	PCDS:experimental_specimen_role_type	Notes extracted from retired sheet: wastewater spec	Charlie		FALSE	B2B2B | GRDI | HPAI | HPAIEnviro | HPAIFood | HPAIHost | HPAIWW | Measles | Mpox | MpoxInternational | WastewaterAMR | WastewaterPathogenAgnostic | WastewaterSARS-CoV-2	characteristic > realizable entity > role		class	2024-03-02T00:18:58.865Z	GENEPIO:0100586	data field		A data field which describes the type of control used in the experiment.		PCDS: The type of role that the sample represents in the experiment.	PCDS: Samples can play different types of roles in experiments. A sample under study in one experiment may act as a control or be a replicate of another sample in another experiment. This field is used to distinguish samples under study from controls, replicates, etc. If the sample acted as an experimental control or a replicate, select a role type from the picklist. If the sample was not a control, leave blank or select 'Not Applicable'.	PCDS: Positive experimental control	https://orcid.org/0000-0002-1107-9135|https://orcid.org/0000-0001-8008-8249	metadata incomplete	Drafted 2023-07-27		experimental control type slot	experimental control type		
GENEPIO:0100814	fecal contamination indicator	PCDS:fecal_contamination_indicator	Notes extracted from retired sheet: wastewater spec	Charlie			HPAI | HPAIEnviro | HPAIWW | WastewaterAMR | WastewaterPathogenAgnostic | WastewaterSARS-CoV-2	characteristic > realizable entity > role		class	2024-03-02T00:18:58.865Z	GENEPIO:0100586	data field		An environmental data field which describes the gene, virus, bacteria, or substance used to measure the sanitary quality of water in regards to fecal contamination.		PCDS: A gene, virus, bacteria, or substance used to measure the sanitary quality of water in regards to fecal contamination.	PCDS: If a fecal contamination indicator was measured, select it from the picklist.	PCDS: crAssphage	https://orcid.org/0000-0002-1107-9135|https://orcid.org/0000-0001-8008-8249	metadata incomplete			fecal contamination indicator slot|faecal contamination indicator slot	fecal contamination indicator|faecal contamination indicator		
GENEPIO:0001419	host role	PCDS:host_role		Rhiannon		UPDATE	CanCOGeNCovid19 | HPAI | HPAIHost | Influenza | Measles | Mpox | MpoxInternational | PHA4GE	characteristic > realizable entity > role		class	2021-04-24T00:42:14Z	GENEPIO:0100628	host field		A data field which describes the role of the host in relation to the exposure setting.		PCDS: The role of the host in relation to the exposure setting.	PCDS: Select the host's personal role(s) from the pick list provided in the template. If the desired term is missing, contact the curation team.	PCDS: Patient	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			host role slot	host role		
GENEPIO:0100837	urinary contamination indicator	PCDS:urinary_contamination_indicator	Notes extracted from retired sheet: wastewater spec	Charlie			HPAI | HPAIEnviro | HPAIWW | WastewaterAMR | WastewaterPathogenAgnostic | WastewaterSARS-CoV-2	characteristic > realizable entity > role		class	2024-03-02T00:18:58.865Z	GENEPIO:0100586	data field		An environmental data field which describes the gene, virus, bacteria, or substance used to measure the sanitary quality of water in regards to urinary contamination.		PCDS: A gene, virus, bacteria, or substance used to measure the sanitary quality of water in regards to urinary contamination.	PCDS: If a urinary contamination indicator was measured, select it from the picklist.	PCDS: urobilin	https://orcid.org/0000-0002-1107-9135|https://orcid.org/0000-0001-8008-8249	metadata incomplete			urinary contamination indicator slot	urinary contamination indicator		
GENEPIO:0100476	attribute package	PCDS:attribute_package				UPDATE	GRDI	ICE > data entity		class	2022-12-22T00:55:53.808Z	GENEPIO:0100586	data field		A data field which describes the attribute package used to structure metadata in an International Nucleotide Sequence Database Collaboration (INSDC) BioSample.		PCDS: The attribute package used to structure metadata in an INSDC BioSample.	PCDS: If the sample is from a specific human or animal, put 'Pathogen.cl'. If the sample is from an environmental sample including food, feed, production facility, farm, water source, manure etc, put 'Pathogen.env'.	PCDS: Pathogen.env [GENEPIO:0100581]	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			attribute package slot	attribute_package|attribute package		
GENEPIO:0100962	diagnostic target presence	PCDS:diagnostic_target_presence_*	Need alt labels for: diagnostic_target_presence, diagnostic_target_presence_1, diagnostic_target_presence_2, diagnostic_target_presence_3 Notes extracted from retired sheet: wastewater spec	Charlie		FALSE	HPAI | HPAIEnviro | HPAIFood | HPAIHost | HPAIWW | Measles | WastewaterAMR | WastewaterPathogenAgnostic | WastewaterSARS-CoV-2	ICE > data entity		class	2024-03-02T00:18:58.865Z	GENEPIO:0100586	data field		A data field which describes the binary value of the result from a diagnostic test.		PCDS: The binary value of the result from a diagnostic test.	PCDS: Select a value from the pick list provided, to describe whether a target was determined to be present or absent within a sample.	PCDS: diagnostic target present	https://orcid.org/0000-0002-1107-9135|https://orcid.org/0000-0001-8008-8249	metadata incomplete						
GENEPIO:0100560	quality control issues	PCDS:quality_control_issues		Charlie		UPDATE	GRDI | HPAI | HPAIEnviro | HPAIFood | HPAIHost | HPAIWW | Measles | MpoxInternational | WastewaterAMR | WastewaterPathogenAgnostic | WastewaterSARS-CoV-2	ICE > data entity		class	2023-01-23T00:42:19.315Z	GENEPIO:0100661	quality control field		A data field which describes the reason contributing to, or causing, a low quality determination in a quality control assessment.		PCDS: The reason contributing to, or causing, a low quality determination in a quality control assessment.	PCDS: Select a value from the pick list provided. If a desired value is missing, submit a new term request to the PHA4GE QC Tag GitHub issuetracker using the New Term Request form.	PCDS: low average genome coverage	https://orcid.org/0000-0002-1107-9135|https://orcid.org/0000-0002-9578-0788	metadata incomplete			quality control issues field|qc issues field|quality control issues slot|qc issues slot	quality control issues		
GENEPIO:0100836	read mapping criteria	PCDS:read_mapping_criteria	Notes extracted from retired sheet: wastewater spec	Charlie	Curation in Progress	FALSE	GRDI | HPAI | HPAIEnviro | HPAIFood | HPAIHost | HPAIWW | Measles | MpoxInternational | WastewaterAMR | WastewaterPathogenAgnostic	ICE > data entity		class	2024-03-02T00:18:58.865Z	IAO:0000030	information content entity		A data field which describes the criteria used to map reads to a reference sequence.		PCDS: A description of the criteria used to map reads to a reference sequence.	PCDS: Provide a description of the read mapping criteria.	PCDS: Phred score >20	https://orcid.org/0000-0002-1107-9135|https://orcid.org/0000-0001-8008-8249	metadata incomplete			read mapping criteria slot	read mapping criteria		
GENEPIO:0100638	prior infection field		Anticipating obsolescence - editor note added.	Rhiannon		UPDATE		ICE > data entity > data field		class	2023-01-01T03:32:48.197Z	GENEPIO:0100586	data field							https://orcid.org/0000-0002-9578-0788	requires discussion	(2026-02-28) Under review for deprecation.		prior infection slot			
GENEPIO:0001158	sample collector contact address	PCDS:sample_collector_contact_address		Rhiannon		UPDATE	AMBR | CanCOGeNCovid19 | Measles | Mpox | MpoxInternational | PHA4GE	ICE > data entity (is about address (spatial))		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the mailing address of the agency submitting the sample.		PCDS: The mailing address of the agency submitting the sample.	PCDS: The mailing address should be in the format: Street number and name, City, Province/Territory, Postal Code, Country	PCDS: 655 Lab St, Vancouver, British Columbia, V5N 2A2, Canada	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			sample collector contact address slot	sample collector contact address		
GENEPIO:0001167	sequence submitter contact address	PCDS:sequence_submitter_contact_address		Rhiannon		UPDATE	CanCOGeNCovid19 | Measles | Mpox | MpoxInternational | PHA4GE	ICE > data entity (is about address (spatial))		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the mailing address of the agency responsible for submission of the sequence.		PCDS: The mailing address of the agency submitting the sequence.	PCDS: The mailing address should be in the format: Street number and name, City, Province/Territory, Postal Code, Country	PCDS: 123 Sunnybrooke St, Toronto, Ontario, M4P 1L6, Canada	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete	Not to be confused with 'sequenced by contact address' http://purl.obolibrary.org/obo/GENEPIO_0100423		sequence submitter contact address slot	sequence submitter contact address		
GENEPIO:0100423	sequenced by contact address	PCDS:sequenced_by_contact_address				UPDATE	Measles | Mpox | MpoxInternational	ICE > data entity (is about address (spatial))		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the mailing address of the agency submitting the sequence.		PCDS: The mailing address of the agency submitting the sequence.	PCDS: The mailing address should be in the format: Street number and name, City, Province/Territory, Postal Code, Country	PCDS: 123 Sunnybrooke St, Toronto, Ontario, M4P 1L6, Canada	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete	Not to be confused with 'sequence submitter contact address' http://purl.obolibrary.org/obo/GENEPIO_0001167		sequenced by contact address slot	sequenced by contact address		
GENEPIO:0102068	amplicon pcr primer scheme url	PCDS:amplicon_pcr_primer_scheme_url	Rhiannon: On a field level this is a parent class of amplicon_pcr_primer_scheme which is set to receive a name or a url.	Charlie			WastewaterSARS-CoV-2 | WastewaterPathogenAgnostic	ICE > data entity (is about address)		class	2026-04-13T17:16:47.336Z	GENEPIO:0100586	data field				PCDS: A URL linking to detailed information or documentation about the amplicon PCR primer scheme, including specifications such as primer sequences, binding positions, and fragment sizes. This URL should direct users to a source that provides the necessary details to reproduce or understand the primer scheme used in the dataset.	PCDS: Provide the url of the primer scheme used to generate the amplicons for sequencing.	PCDS: https://github.com/artic-network/primer-schemes/tree/master/nCoV-2019/V1		metadata incomplete						
